Position,Track Name,Artist,Streams,date,region,spotify_id
1,Starboy,The Weeknd,2583,2017-01-01,lt,5aAx2yezTd8zXrkmtKl66Z
2,I Feel It Coming,The Weeknd,2257,2017-01-01,lt,5GXAXm5YOmYT0kL5jHvYBt
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1972,2017-01-01,lt,3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1961,2017-01-01,lt,5knuzwU65gJK7IF5yJsuaW
5,Closer,The Chainsmokers,1944,2017-01-01,lt,7BKLCZ1jbUBVqRi2FVlTVw
6,Don't Wanna Know,Maroon 5,1795,2017-01-01,lt,5MFzQMkrl1FOOng9tq6R9r
7,Call On Me - Ryan Riback Extended Remix,Starley,1731,2017-01-01,lt,78rIJddV4X0HkNAInEcYde
8,Let Me Love You,DJ Snake,1710,2017-01-01,lt,4pdPtRcBmOSQDlJ3Fk945m
9,Black Beatles,Rae Sremmurd,1474,2017-01-01,lt,6fujklziTHa8uoM5OQSfIo
10,One Dance,Drake,1414,2017-01-01,lt,1xznGGDReH1oQq0xzbwXa3
11,Just Hold On,Steve Aoki,1387,2017-01-01,lt,3EmmCZoqpWOTY1g2GBwJoR
12,Fake Love,Drake,1378,2017-01-01,lt,343YBumqHu19cGoGARUTsd
13,Say You Won't Let Go,James Arthur,1359,2017-01-01,lt,5uCax9HTNlzGybIStD3vDh
14,All We Know,The Chainsmokers,1270,2017-01-01,lt,2rizacJSyD9S1IQUxUxnsK
15,All Night,The Vamps,1269,2017-01-01,lt,4b4KcovePX8Ke2cLIQTLM0
16,Tuesday,Burak Yeter,1252,2017-01-01,lt,7abpmGpF7PGep2rDU68GBR
17,Alone,Alan Walker,1180,2017-01-01,lt,0JiVRyTJcJnmlwCZ854K4p
18,Starving,Hailee Steinfeld,1179,2017-01-01,lt,1qOLh0tI7trd1zdDKxYZTe
19,Now and Later,Sage The Gemini,1170,2017-01-01,lt,08WPvDEsHvTFuB9w8tC2OS
20,In the Name of Love,Martin Garrix,1135,2017-01-01,lt,04DwTuZ2VBdJCCC5TROn7L
21,Hear Me Now,Alok,1120,2017-01-01,lt,1a5Yu5L18qNxVhXx38njON
22,Bad Things (with Camila Cabello),Machine Gun Kelly,1097,2017-01-01,lt,1PSBzsahR2AKwLJgx8ehBj
23,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1088,2017-01-01,lt,6JV2JOEocMgcZxYSZelKcc
24,Love Me Now,John Legend,1071,2017-01-01,lt,6nxQdXa1uAL0rY72wPZu89
25,By Your Side,Jonas Blue,1024,2017-01-01,lt,1D3ODoXHBLpdxolZRHWV1j
26,My Way,Calvin Harris,1020,2017-01-01,lt,1vvNmPOiUuyCbgWmtc6yfm
27,Sunset Lover,Petit Biscuit,1020,2017-01-01,lt,0hNduWmlWmEmuwEFcYvRu1
28,The Mack,Nevada,1017,2017-01-01,lt,7aV2mflaASUmGhCErm7kBO
29,24K Magic,Bruno Mars,1012,2017-01-01,lt,6b8Be6ljOzmkOmFslEb23P
1,Starboy,The Weeknd,3263,2017-01-02,lt,5aAx2yezTd8zXrkmtKl66Z
2,I Feel It Coming,The Weeknd,2882,2017-01-02,lt,5GXAXm5YOmYT0kL5jHvYBt
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2727,2017-01-02,lt,3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2556,2017-01-02,lt,5knuzwU65gJK7IF5yJsuaW
5,Call On Me - Ryan Riback Extended Remix,Starley,2286,2017-01-02,lt,78rIJddV4X0HkNAInEcYde
6,Closer,The Chainsmokers,2280,2017-01-02,lt,7BKLCZ1jbUBVqRi2FVlTVw
7,Don't Wanna Know,Maroon 5,2249,2017-01-02,lt,5MFzQMkrl1FOOng9tq6R9r
8,Let Me Love You,DJ Snake,2156,2017-01-02,lt,4pdPtRcBmOSQDlJ3Fk945m
9,Just Hold On,Steve Aoki,1943,2017-01-02,lt,3EmmCZoqpWOTY1g2GBwJoR
10,Say You Won't Let Go,James Arthur,1864,2017-01-02,lt,5uCax9HTNlzGybIStD3vDh
11,Fake Love,Drake,1740,2017-01-02,lt,343YBumqHu19cGoGARUTsd
12,All We Know,The Chainsmokers,1678,2017-01-02,lt,2rizacJSyD9S1IQUxUxnsK
13,All Night,The Vamps,1675,2017-01-02,lt,4b4KcovePX8Ke2cLIQTLM0
14,Starving,Hailee Steinfeld,1620,2017-01-02,lt,1qOLh0tI7trd1zdDKxYZTe
15,Hear Me Now,Alok,1612,2017-01-02,lt,1a5Yu5L18qNxVhXx38njON
16,Black Beatles,Rae Sremmurd,1590,2017-01-02,lt,6fujklziTHa8uoM5OQSfIo
17,Now and Later,Sage The Gemini,1525,2017-01-02,lt,08WPvDEsHvTFuB9w8tC2OS
18,In the Name of Love,Martin Garrix,1516,2017-01-02,lt,04DwTuZ2VBdJCCC5TROn7L
19,One Dance,Drake,1512,2017-01-02,lt,1xznGGDReH1oQq0xzbwXa3
20,Bad Things (with Camila Cabello),Machine Gun Kelly,1512,2017-01-02,lt,1PSBzsahR2AKwLJgx8ehBj
21,Love Me Now,John Legend,1494,2017-01-02,lt,6nxQdXa1uAL0rY72wPZu89
22,Tuesday,Burak Yeter,1462,2017-01-02,lt,7abpmGpF7PGep2rDU68GBR
23,By Your Side,Jonas Blue,1403,2017-01-02,lt,1D3ODoXHBLpdxolZRHWV1j
24,Sunset Lover,Petit Biscuit,1337,2017-01-02,lt,0hNduWmlWmEmuwEFcYvRu1
25,The Mack,Nevada,1335,2017-01-02,lt,7aV2mflaASUmGhCErm7kBO
26,Shed a Light,Robin Schulz,1319,2017-01-02,lt,1cG0umU5TKStygKsPFZ9pY
27,Chantaje (feat. Maluma),Shakira,1311,2017-01-02,lt,6mICuAdrwEjh6Y6lroV2Kg
28,Weak,AJR,1280,2017-01-02,lt,3E2Zh20GDCR9B1EYjfXWyv
29,Mercy,Shawn Mendes,1277,2017-01-02,lt,4TZy1wLyHec06pwgFYDh1a
30,I Would Like,Zara Larsson,1268,2017-01-02,lt,4Q4jmPHwu0wrJvqrld0FQ6
31,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1267,2017-01-02,lt,2wDjpPW3HZdA9quPPmZAMu
32,Heathens,Twenty One Pilots,1257,2017-01-02,lt,6i0V12jOa3mr6uu4WYhUBr
33,My Way,Calvin Harris,1242,2017-01-02,lt,1vvNmPOiUuyCbgWmtc6yfm
34,Alone,Alan Walker,1224,2017-01-02,lt,0JiVRyTJcJnmlwCZ854K4p
35,Scars To Your Beautiful,Alessia Cara,1199,2017-01-02,lt,0prNGof3XqfTvNDxHonvdK
36,"How Far I'll Go - From ""Moana""",Alessia Cara,1192,2017-01-02,lt,5hYTyyh2odQKphUbMqc5gN
37,Side To Side,Ariana Grande,1184,2017-01-02,lt,4pLwZjInHj3SimIyN9SnOz
38,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1159,2017-01-02,lt,40UroIGvsMPLPBYwH8rMNA
39,24K Magic,Bruno Mars,1158,2017-01-02,lt,6b8Be6ljOzmkOmFslEb23P
40,All Time Low,Jon Bellion,1137,2017-01-02,lt,1CnPYaKxTVb4LWOtiGOm0m
41,Lot to Learn,Luke Christopher,1131,2017-01-02,lt,2HzfRSfCogBSsgW2CckVA2
42,Solo Dance,Martin Jensen,1115,2017-01-02,lt,6HUnnBwYZqcED1eQztxMBN
43,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1109,2017-01-02,lt,6DNtNfH8hXkqOX1sjqmI7p
44,Make Me (Cry),Noah Cyrus,1106,2017-01-02,lt,2BrzlUj1u1CtvaJDGIKpsP
45,Dynamite (feat. Pretty Sister),Nause,1085,2017-01-02,lt,2Ae5awwKvQpTBKQHr1TYCg
46,Cheap Thrills,Sia,1080,2017-01-02,lt,27SdWb2rFzO6GWiYDBTD9j
47,I Got You,Bebe Rexha,1033,2017-01-02,lt,1FUViuNSldssMIawrOXF2i
48,Lighthouse - Andrelli Remix,Hearts & Colors,1023,2017-01-02,lt,04CttTezSnv71USiiG9mIo
49,Taped up Heart (feat. Clara Mae),KREAM,1014,2017-01-02,lt,26hcyzSE154xMZCbFdtInA
50,Not Going Home,DVBBS,1001,2017-01-02,lt,042x9bsUBWW2fJgJ6fUh61
1,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3328,2017-01-03,lt,3NdDpSvN911VPGivFlV5d0
2,Starboy,The Weeknd,3248,2017-01-03,lt,5aAx2yezTd8zXrkmtKl66Z
3,I Feel It Coming,The Weeknd,2880,2017-01-03,lt,5GXAXm5YOmYT0kL5jHvYBt
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2560,2017-01-03,lt,5knuzwU65gJK7IF5yJsuaW
5,Closer,The Chainsmokers,2408,2017-01-03,lt,7BKLCZ1jbUBVqRi2FVlTVw
6,Call On Me - Ryan Riback Extended Remix,Starley,2385,2017-01-03,lt,78rIJddV4X0HkNAInEcYde
7,Don't Wanna Know,Maroon 5,2290,2017-01-03,lt,5MFzQMkrl1FOOng9tq6R9r
8,Just Hold On,Steve Aoki,2113,2017-01-03,lt,3EmmCZoqpWOTY1g2GBwJoR
9,Let Me Love You,DJ Snake,2108,2017-01-03,lt,4pdPtRcBmOSQDlJ3Fk945m
10,Say You Won't Let Go,James Arthur,2001,2017-01-03,lt,5uCax9HTNlzGybIStD3vDh
11,All Night,The Vamps,1933,2017-01-03,lt,4b4KcovePX8Ke2cLIQTLM0
12,Fake Love,Drake,1790,2017-01-03,lt,343YBumqHu19cGoGARUTsd
13,Bad Things (with Camila Cabello),Machine Gun Kelly,1782,2017-01-03,lt,1PSBzsahR2AKwLJgx8ehBj
14,Love Me Now,John Legend,1755,2017-01-03,lt,6nxQdXa1uAL0rY72wPZu89
15,Hear Me Now,Alok,1733,2017-01-03,lt,1a5Yu5L18qNxVhXx38njON
16,All We Know,The Chainsmokers,1728,2017-01-03,lt,2rizacJSyD9S1IQUxUxnsK
17,Starving,Hailee Steinfeld,1705,2017-01-03,lt,1qOLh0tI7trd1zdDKxYZTe
18,Now and Later,Sage The Gemini,1603,2017-01-03,lt,08WPvDEsHvTFuB9w8tC2OS
19,In the Name of Love,Martin Garrix,1602,2017-01-03,lt,04DwTuZ2VBdJCCC5TROn7L
20,Black Beatles,Rae Sremmurd,1534,2017-01-03,lt,6fujklziTHa8uoM5OQSfIo
21,"How Far I'll Go - From ""Moana""",Alessia Cara,1526,2017-01-03,lt,5hYTyyh2odQKphUbMqc5gN
22,I Would Like,Zara Larsson,1522,2017-01-03,lt,4Q4jmPHwu0wrJvqrld0FQ6
23,Shed a Light,Robin Schulz,1483,2017-01-03,lt,1cG0umU5TKStygKsPFZ9pY
24,Tuesday,Burak Yeter,1477,2017-01-03,lt,7abpmGpF7PGep2rDU68GBR
25,The Mack,Nevada,1467,2017-01-03,lt,7aV2mflaASUmGhCErm7kBO
26,By Your Side,Jonas Blue,1463,2017-01-03,lt,1D3ODoXHBLpdxolZRHWV1j
27,Sunset Lover,Petit Biscuit,1439,2017-01-03,lt,0hNduWmlWmEmuwEFcYvRu1
28,All Time Low,Jon Bellion,1428,2017-01-03,lt,1CnPYaKxTVb4LWOtiGOm0m
29,Weak,AJR,1426,2017-01-03,lt,3E2Zh20GDCR9B1EYjfXWyv
30,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1371,2017-01-03,lt,40UroIGvsMPLPBYwH8rMNA
31,Mercy,Shawn Mendes,1367,2017-01-03,lt,4TZy1wLyHec06pwgFYDh1a
32,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1362,2017-01-03,lt,2wDjpPW3HZdA9quPPmZAMu
33,Chantaje (feat. Maluma),Shakira,1354,2017-01-03,lt,6mICuAdrwEjh6Y6lroV2Kg
34,One Dance,Drake,1341,2017-01-03,lt,1xznGGDReH1oQq0xzbwXa3
35,Lot to Learn,Luke Christopher,1281,2017-01-03,lt,2HzfRSfCogBSsgW2CckVA2
36,Scars To Your Beautiful,Alessia Cara,1268,2017-01-03,lt,0prNGof3XqfTvNDxHonvdK
37,Lighthouse - Andrelli Remix,Hearts & Colors,1259,2017-01-03,lt,04CttTezSnv71USiiG9mIo
38,Alone,Alan Walker,1239,2017-01-03,lt,0JiVRyTJcJnmlwCZ854K4p
39,My Way,Calvin Harris,1237,2017-01-03,lt,1vvNmPOiUuyCbgWmtc6yfm
40,Solo Dance,Martin Jensen,1236,2017-01-03,lt,6HUnnBwYZqcED1eQztxMBN
41,Dynamite (feat. Pretty Sister),Nause,1204,2017-01-03,lt,2Ae5awwKvQpTBKQHr1TYCg
42,Make Me (Cry),Noah Cyrus,1155,2017-01-03,lt,2BrzlUj1u1CtvaJDGIKpsP
43,Side To Side,Ariana Grande,1152,2017-01-03,lt,4pLwZjInHj3SimIyN9SnOz
44,I Got You,Bebe Rexha,1152,2017-01-03,lt,1FUViuNSldssMIawrOXF2i
45,Heathens,Twenty One Pilots,1149,2017-01-03,lt,6i0V12jOa3mr6uu4WYhUBr
46,Light,San Holo,1145,2017-01-03,lt,7zTx8ePYAmPFQuxP3xlXZn
47,24K Magic,Bruno Mars,1140,2017-01-03,lt,6b8Be6ljOzmkOmFslEb23P
48,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1121,2017-01-03,lt,6DNtNfH8hXkqOX1sjqmI7p
49,Not Going Home,DVBBS,1078,2017-01-03,lt,042x9bsUBWW2fJgJ6fUh61
